year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,16,4/15/2025,4/15/2025,Andhra Pradesh,Kakinada,Acute Diarrheal Disease,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,16,4/15/2025,4/17/2025,Assam,Biswanath,Chickenpox,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,16,4/19/2025,4/20/2025,Assam,Dhemaji,Food Poisoning,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,16,4/19/2025,4/19/2025,Bihar,Gopalganj,Fever with Rash,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,4/12/2025,4/15/2025,Bihar,Madhubani,Acute Diarrheal Disease,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,16,4/15/2025,4/16/2025,Bihar,Patna,Chickenpox,Reported,8,1,"cases in absolute number, deaths in absolute number",
2025,16,4/19/2025,4/19/2025,Bihar,Vaishali,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,4/15/2025,4/15/2025,Chhattisgarh,Surguja,Food Poisoning,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,4/16/2025,4/16/2025,Gujarat,Narmada,Measles,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,16,4/18/2025,4/19/2025,Gujarat,Rajkot,Acute Diarrheal Disease,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,16,4/16/2025,4/16/2025,Haryana,Kurukshetra,Hepatitis A,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,16,4/17/2025,4/17/2025,Haryana,Nuh,Chickenpox,Reported,28,0,"cases in absolute number, deaths in absolute number",
2025,16,4/18/2025,4/19/2025,Jammu and Kashmir,Baramulla,Hepatitis A,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,16,4/16/2025,4/16/2025,Jammu and Kashmir,Kulgam,Typhoid,Reported,47,0,"cases in absolute number, deaths in absolute number",
2025,16,4/15/2025,4/16/2025,Jharkhand,Giridih,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,4/19/2025,4/19/2025,Jharkhand,Lohardaga,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,4/14/2025,4/15/2025,Jharkhand,Sahebganj,Malaria,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,16,4/19/2025,4/19/2025,Jharkhand,Simdega,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,16,4/18/2025,4/18/2025,Kerala,Ernakulam,Typhoid,Reported,12,0,"cases in absolute number, deaths in absolute number",
